,Raw,Package,Details
134,"microcode-initrd/focal-updates,now 2~20.04.0 amd64 [installed]",microcode-initrd,"focal-updates,now 2~20.04.0 amd64 [installed]"
135,"nbd-client/focal-updates,focal-security,now 1:3.20-1ubuntu0.1 amd64 [installed]",nbd-client,"focal-updates,focal-security,now 1:3.20-1ubuntu0.1 amd64 [installed]"
136,"nbtscan/focal,now 1.6-1 amd64 [installed]",nbtscan,"focal,now 1.6-1 amd64 [installed]"
137,"ncurses-base/focal,now 6.2-0ubuntu2 all [installed]",ncurses-base,"focal,now 6.2-0ubuntu2 all [installed]"
138,"ncurses-bin/focal,now 6.2-0ubuntu2 amd64 [installed]",ncurses-bin,"focal,now 6.2-0ubuntu2 amd64 [installed]"
139,"ncurses-term/focal,now 6.2-0ubuntu2 all [installed]",ncurses-term,"focal,now 6.2-0ubuntu2 all [installed]"
140,"net-tools/focal,now 1.60+git20180626.aebd88e-1ubuntu1 amd64 [installed]",net-tools,"focal,now 1.60+git20180626.aebd88e-1ubuntu1 amd64 [installed]"
141,"netcat/focal,now 1.206-1ubuntu1 all [installed]",netcat,"focal,now 1.206-1ubuntu1 all [installed]"
142,"netpbm/focal,now 2:10.0-15.3build1 amd64 [installed]",netpbm,"focal,now 2:10.0-15.3build1 amd64 [installed]"
143,"netsed/focal,now 1.2-3 amd64 [installed]",netsed,"focal,now 1.2-3 amd64 [installed]"
144,"netwox/focal,now 5.39.0-1.3build1 amd64 [installed]",netwox,"focal,now 5.39.0-1.3build1 amd64 [installed]"
145,"nfdump/focal,now 1.6.18-2 amd64 [installed]",nfdump,"focal,now 1.6.18-2 amd64 [installed]"
146,"ngrep/focal,now 1.47+ds1-2 amd64 [installed]",ngrep,"focal,now 1.47+ds1-2 amd64 [installed]"
147,"nikto/focal,now 1:2.1.5-3.1 all [installed]",nikto,"focal,now 1:2.1.5-3.1 all [installed]"
148,"okular/focal,now 4:19.12.3-2ubuntu1 amd64 [installed]",okular,"focal,now 4:19.12.3-2ubuntu1 amd64 [installed]"
149,"onboard/focal,now 1.4.1-2ubuntu7 amd64 [installed]",onboard,"focal,now 1.4.1-2ubuntu7 amd64 [installed]"
150,"openjdk-8-jdk/focal-updates,focal-security,now 8u362-ga-0ubuntu1~20.04.1 amd64 [installed]",openjdk-8-jdk,"focal-updates,focal-security,now 8u362-ga-0ubuntu1~20.04.1 amd64 [installed]"
151,"openssh-server/focal-updates,now 1:8.2p1-4ubuntu0.5 amd64 [installed]",openssh-server,"focal-updates,now 1:8.2p1-4ubuntu0.5 amd64 [installed]"
152,"openssh-sftp-server/focal-updates,now 1:8.2p1-4ubuntu0.5 amd64 [installed]",openssh-sftp-server,"focal-updates,now 1:8.2p1-4ubuntu0.5 amd64 [installed]"
153,"ophcrack-cli/focal,now 3.8.0-2build1 amd64 [installed]",ophcrack-cli,"focal,now 3.8.0-2build1 amd64 [installed]"
154,"ophcrack/focal,now 3.8.0-2build1 amd64 [installed]",ophcrack,"focal,now 3.8.0-2build1 amd64 [installed]"
155,"outguess/focal,now 1:0.2.2-4 amd64 [installed]",outguess,"focal,now 1:0.2.2-4 amd64 [installed]"
156,"p0f/focal,now 3.09b-2 amd64 [installed]",p0f,"focal,now 3.09b-2 amd64 [installed]"
157,"p7zip-full/focal,now 16.02+dfsg-7build1 amd64 [installed]",p7zip-full,"focal,now 16.02+dfsg-7build1 amd64 [installed]"
158,"pev/focal,now 0.80-4build1 amd64 [installed]",pev,"focal,now 0.80-4build1 amd64 [installed]"
159,"plaso-tools/focal,now 20220724-1ppa1~focal all [installed]",plaso-tools,"focal,now 20220724-1ppa1~focal all [installed]"
160,"pst-utils/focal,now 0.6.74-1build1 amd64 [installed]",pst-utils,"focal,now 0.6.74-1build1 amd64 [installed]"
161,"pulseaudio-utils/focal-updates,now 1:13.99.1-1ubuntu3.13 amd64 [installed]",pulseaudio-utils,"focal-updates,now 1:13.99.1-1ubuntu3.13 amd64 [installed]"
162,"pv/focal,now 1.6.6-1 amd64 [installed]",pv,"focal,now 1.6.6-1 amd64 [installed]"
192,"qemu-utils/focal-updates,focal-security,now 1:4.2-3ubuntu6.24 amd64 [installed]",qemu-utils,"focal-updates,focal-security,now 1:4.2-3ubuntu6.24 amd64 [installed]"
193,"qemu/focal-updates,focal-security,now 1:4.2-3ubuntu6.24 amd64 [installed]",qemu,"focal-updates,focal-security,now 1:4.2-3ubuntu6.24 amd64 [installed]"
194,"radare2/focal,now 4.2.1+dfsg-2 amd64 [installed]",radare2,"focal,now 4.2.1+dfsg-2 amd64 [installed]"
195,"rar/focal,now 2:5.5.0-1build1 amd64 [installed]",rar,"focal,now 2:5.5.0-1build1 amd64 [installed]"
196,"rsakeyfind/focal,now 1:1.0-6build1 amd64 [installed]",rsakeyfind,"focal,now 1:1.0-6build1 amd64 [installed]"
197,"safecopy/focal,now 1.7-5 amd64 [installed]",safecopy,"focal,now 1.7-5 amd64 [installed]"
198,"salt-common/unknown,now 3004.2+ds-1 all [installed]",salt-common,"unknown,now 3004.2+ds-1 all [installed]"
199,"samba/focal-updates,focal-security,now 2:4.15.13+dfsg-0ubuntu0.20.04.1 amd64 [installed]",samba,"focal-updates,focal-security,now 2:4.15.13+dfsg-0ubuntu0.20.04.1 amd64 [installed]"
200,"samdump2/focal,now 3.0.0-7 amd64 [installed]",samdump2,"focal,now 3.0.0-7 amd64 [installed]"
201,"scalpel/focal,now 1.60-8 amd64 [installed]",scalpel,"focal,now 1.60-8 amd64 [installed]"
202,"sed/focal,now 4.7-1 amd64 [installed]",sed,"focal,now 4.7-1 amd64 [installed]"
203,"socat/focal,now 1.7.3.3-2 amd64 [installed]",socat,"focal,now 1.7.3.3-2 amd64 [installed]"
204,"ssdeep/focal,now 2.14.1+git20180629.57fcfff-1build1 amd64 [installed]",ssdeep,"focal,now 2.14.1+git20180629.57fcfff-1build1 amd64 [installed]"
205,"ssh-import-id/focal,now 5.10-0ubuntu1 all [installed]",ssh-import-id,"focal,now 5.10-0ubuntu1 all [installed]"
206,"ssldump/focal,now 1.1-1 amd64 [installed]",ssldump,"focal,now 1.1-1 amd64 [installed]"
207,"sslsniff/focal,now 0.8-8 amd64 [installed]",sslsniff,"focal,now 0.8-8 amd64 [installed]"
